Wavelength (nm),Calc.
404.0,0.5546433723910684
405.0,0.5581054302763574
406.0,0.56150248852835
407.0,0.564866463416788
408.0,0.5681959895122823
409.0,0.5714529791929618
410.0,0.5745616944043245
411.0,0.5774104360016968
412.0,0.579855869452103
413.0,0.5817298946830455
414.0,0.5828488101758125
415.0,0.5830243125706982
416.0,0.5820756328477485
417.0,0.5798418823794963
418.0,0.5761935261608324
419.0,0.5710418747914969
420.0,0.5643456286993838
421.0,0.556113816932634
422.0,0.5464049037196964
423.0,0.535322308892575
424.0,0.5230070102076795
424.99999999999994,0.509628187663552
426.0,0.49537298871238844
427.00000000000006,0.4804364391494144
428.0,0.4650123351286
429.0,0.4492856858130766
429.99999999999994,0.43342699436803367
431.0,0.41758841562412846
432.0,0.40190164048205695
433.0,0.38647723916475635
434.0,0.3714051420969186
435.0,0.35675593438627917
436.0,0.342582670775708
437.0,0.3289229670031402
438.0,0.31580117859742257
439.0,0.3032305310311256
440.0,0.2912151111616738
441.0,0.279751667047749
442.0,0.2688311913766709
443.00000000000006,0.2584402837791822
444.0,0.24856230061987047
445.0,0.23917830891863215
446.0,0.23026786525508913
447.0,0.22180964199576644
448.0,0.21378192288514244
449.0,0.20616298865089963
450.0,0.19893141129067068
451.0,0.1920662734757644
452.0,0.18554732725105946
453.0,0.17935510406647978
454.00000000000006,0.17347098621994603
455.0,0.16787724805860005
456.0,0.16255707378184994
457.0,0.15749455740748355
458.0,0.15267468938273837
459.0,0.14808333342360772
460.00000000000006,0.14370719642436988
461.0,0.13953379367264296
462.0,0.13555141111224725
463.0,0.1317490659980487
464.0,0.1281164669674094
465.00000000000006,0.12464397429790426
466.0,0.12132256091867927
467.0,0.11814377458336257
468.0,0.11509970148752753
469.0,0.11218293151660472
470.0,0.10938652523528716
471.0,0.10670398267236197
472.0,0.10412921391187364
473.0,0.10165651146961008
473.99999999999994,0.09928052441074024
475.00000000000006,0.09699623414810088
476.0,0.09479893184960969
477.0,0.0926841973763519
478.0,0.09064787966909763
479.0,0.08868607849956357
479.99999999999994,0.0867951275030731
481.0,0.08497157841087621
482.0,0.08321218640294127
483.0,0.08151389650518909
484.0,0.0798738309587318
484.99999999999994,0.07828927749249623
486.0,0.07675767843454837
487.0,0.07527662060138764
487.99999999999994,0.07384382590837511
489.00000000000006,0.07245714264825094
490.0,0.07111453738834823
491.0,0.0698140874405878
492.00000000000006,0.06855397386165193
493.00000000000006,0.06733247494384349
494.00000000000006,0.06614796016007003
495.00000000000006,0.06499888452912854
495.99999999999994,0.06388378337002337
496.99999999999994,0.0628012674164272
498.00000000000006,0.061750018264603655
498.99999999999994,0.060728784130156706
499.99999999999994,0.05973637589086584
501.00000000000006,0.05877166339462159
502.0,0.05783357201308793
503.0,0.05692107942321575
504.0,0.05603321260010779
505.00000000000006,0.055169045006001984
506.0,0.05432769396131263
506.99999999999994,0.05350831818474379
508.0,0.052710115490482226
509.0,0.051932320631389584
510.0,0.05117420327795451
511.0,0.05043506612353962
512.0,0.04971424310717088
513.0,0.04901109774577242
514.0,0.048325021568355345
515.0,0.04765543264522363
516.0,0.047001774205776344
517.0,0.046363513338953194
518.0,0.0457401397708105
519.0,0.0451311647141129
520.0,0.04453611978519798
521.0,0.043954555983711924
522.0,0.04338604273112945
523.0,0.04283016696426342
524.0,0.04228653228023555
525.0,0.04175475812963174
526.0,0.04123447905479083
527.0,0.04072534397039134
528.0,0.040227015483693895
529.0,0.039739169251981135
530.0,0.039261493374903186
531.0,0.03879368781959281
532.0,0.03833546387655901
533.0,0.03788654364450101
534.0,0.03744665954230819
535.0,0.03701555384662719
536.0,0.03659297825348335
537.0,0.036178693462542884
538.0,0.03577246878269445
539.0,0.03537408175771348
540.0,0.03498331781085261
541.0,0.034599969907276
542.0,0.03422383823332203
543.0,0.0338547298916452
544.0,0.03349245861134594
545.0,0.03313684447225369
546.0,0.03278771364257904
547.0,0.03244489812919995
548.0,0.03210823553989185
549.0,0.031777568856852956
550.0,0.0314527462209157
551.0,0.031133620725871315
552.0,0.030820050222369715
553.0,0.030511897130887033
554.0,0.030209028263285333
555.0,0.029911314652514863
556.0,0.029618631390036062
557.0,0.029330857470564024
558.0,0.029047875643759085
559.0,0.0287695722725105
560.0,0.028495837197478814
561.0,0.028226563607582703
562.0,0.027961647916132554
563.0,0.027700989642330566
564.0,0.027444491297872204
565.0,0.027192058278398563
566.0,0.02694359875956309
567.0,0.02669902359748891
568.0,0.026458246233405078
569.0,0.026221182602261594
570.0,0.025987751045133598
571.0,0.025757872225235626
572.0,0.02553146904737567
573.0,0.025308466580688412
574.0,0.025088791984495058
575.0,0.024872374437145097
576.0,0.02465914506770296
577.0,0.024449036890349884
578.0,0.02424198474137685
579.0,0.02403792521865252
579.9999999999999,0.023836796623454195
581.0,0.023638538904556614
582.0,0.023443093604478438
583.0,0.0232504038077908
584.0,0.023060414091397686
585.0,0.022873070476701906
586.0,0.022688320383574708
587.0,0.02250611258605141
588.0,0.022326397169678772
589.0,0.022149125490443438
590.0,0.021974250135214486
591.0,0.021801724883636298
592.0,0.021631504671410277
593.0,0.021463545554908006
594.0,0.02129780467706009
594.9999999999999,0.021134240234468124
596.0,0.020972811445689455
597.0,0.020813478520646866
598.0,0.020656202631117247
599.0,0.020500945882255844
600.0,0.020347671285114003
